Census year,Block ID,CLUE small area,Seating type,Number of seats,Longitude,Latitude
2007,54,Melbourne (CBD),Seats - Indoor,20,144.9617657,-37.81416491
2013,204,Carlton,Seats - Indoor,24,144.965164,-37.79780844
2010,790,Port Melbourne,Seats - Indoor,74,144.9063359,-37.82797655
2010,57,Melbourne (CBD),Seats - Indoor,46,144.9681879,-37.8122734
2010,252,Carlton,Seats - Outdoor,12,144.9666993,-37.80443778
2024,1110,Docklands,Seats - Indoor,80,144.9356321,-37.81223228
2014,87,Melbourne (CBD),Seats - Indoor,50,144.9684463,-37.80913994
2007,260,Carlton,Seats - Indoor,36,144.9585289,-37.80307983
2014,432,West Melbourne (Residential),Seats - Indoor,34,144.9525725,-37.80739775
2005,67,Melbourne (CBD),Seats - Outdoor,20,144.9689246,-37.81104436
2009,2392,North Melbourne,Seats - Outdoor,2,144.9414027,-37.79501722
2018,804,Southbank,Seats - Indoor,250,144.9503336,-37.82409303
2009,801,Southbank,Seats - Indoor,100,144.9638287,-37.82082512
2021,77,Melbourne (CBD),Seats - Indoor,26,144.9681718,-37.8099428
2021,732,Southbank,Seats - Indoor,25,144.9590507,-37.82730523
2005,115,Melbourne (CBD),Seats - Indoor,75,144.9614154,-37.80713928
2019,740,Southbank,Seats - Indoor,8,144.9638608,-37.82864999
2009,25,Melbourne (CBD),Seats - Indoor,6,144.9653407,-37.81620631
2012,64,Melbourne (CBD),Seats - Outdoor,44,144.9608667,-37.8131434
2015,802,Southbank,Seats - Indoor,60,144.9622689,-37.82266873
2014,203,Carlton,Seats - Indoor,30,144.9648999,-37.79668021
2009,252,Carlton,Seats - Outdoor,22,144.9666993,-37.80443778
2020,270,Parkville,Seats - Outdoor,34,144.9612585,-37.79738769
2008,787,Port Melbourne,Seats - Indoor,23,144.9194618,-37.82904746
2005,852,Melbourne (Remainder),Seats - Indoor,200,144.9803816,-37.83017209
2021,1105,Docklands,Seats - Outdoor,70,144.9502584,-37.81864992
2022,72,Melbourne (CBD),Seats - Indoor,12,144.9548222,-37.81349786
